,City,Latitude,Max Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
0,Sao Filipe,14.9,73.65,80,100,16.33
1,Severo-Kurilsk,50.68,28.85,77,97,21.07
2,Lorengau,-2.02,83.43,75,66,5.59
3,Tiassale,5.9,72.86,97,2,1.54
4,Ushuaia,-54.81,33.8,98,75,20.8
5,Richards Bay,-28.77,69.66,71,98,13.51
6,Punta Arenas,-53.16,35.6,74,77,11.41
7,Sonoita,31.68,72.0,55,1,18.34
8,Longyearbyen,78.22,24.8,73,75,19.46
9,Balkhash,46.84,35.6,38,39,4.47
10,Vaini,15.34,71.6,100,75,2.15
11,Ambilobe,-13.19,77.32,70,98,10.13
12,Butaritari,3.07,84.24,66,88,8.77
13,Mataura,-46.19,63.0,72,100,5.01
14,Los Llanos de Aridane,28.66,69.8,56,75,16.11
15,Nouadhibou,20.93,69.8,73,100,14.99
16,Waingapu,-9.65,82.27,74,0,4.94
17,Victoria,5.28,80.6,78,75,9.17
18,Bluff,-23.58,87.78,16,0,18.14
19,Dikson,73.51,-1.57,97,96,10.33
20,Georgetown,6.8,77.0,94,20,4.7
21,Kandrian,-6.21,82.31,87,100,4.76
22,Cape Town,-33.93,64.99,67,86,5.82
23,Thompson,55.74,6.8,84,90,4.7
24,Hobart,-42.88,53.01,66,75,13.87
25,Guerrero Negro,27.97,69.49,64,0,11.01
26,Beringovskiy,63.05,24.53,87,99,10.0
27,Bom Jesus da Lapa,-13.25,76.64,43,0,4.61
28,Saskylakh,71.97,-12.75,97,100,11.97
29,Narsaq,60.91,37.4,40,0,6.93
30,Klaksvik,62.23,41.0,75,100,20.8
31,Raahe,64.68,21.2,92,90,6.93
32,Taltal,-25.41,53.74,88,44,0.67
33,Puerto Ayora,-0.74,70.0,90,44,5.99
34,Airai,-8.93,87.62,29,11,7.76
35,Daokou,35.61,33.53,92,100,12.37
36,Bredasdorp,-34.53,62.01,67,100,17.22
37,Hobyo,5.35,79.11,81,6,6.98
38,Qaanaaq,77.48,-5.21,57,0,5.77
39,Agadir,30.42,50.0,87,0,4.7
40,Albany,42.65,26.6,62,1,4.7
41,Fethiye,36.62,53.6,93,0,6.93
42,Valparaiso,41.47,28.4,63,1,4.7
43,Khani,41.96,44.6,81,58,2.24
44,Kavaratti,10.57,82.4,74,40,6.93
45,Vaitape,-16.52,81.28,77,100,18.59
46,Baisha,19.23,70.07,61,69,5.7
47,Vila Velha,-3.71,80.6,74,40,16.11
48,Atuona,-9.8,79.84,78,0,12.8
49,Half Moon Bay,37.46,55.99,93,90,3.36
50,Hermanus,-34.42,62.01,80,100,10.0
51,Rikitea,-23.12,73.47,76,100,10.74
52,Saint-Philippe,45.36,27.0,85,1,6.04
53,Iquique,-20.22,64.4,72,90,5.82
54,Sovetskiy,56.76,23.59,72,0,3.4
55,Velizh,55.61,41.47,88,100,9.89
56,Mantua,45.16,48.99,93,75,1.12
57,Beckley,37.78,28.99,79,1,1.61
58,Sechura,-5.56,63.93,88,5,5.84
59,Port Alfred,-33.59,61.0,79,73,1.99
60,Lelystad,52.52,45.0,100,40,13.87
61,Petropavlovsk-Kamchatskiy,53.05,35.6,55,40,4.47
62,Tasiilaq,65.61,37.4,55,100,36.91
63,Port Elizabeth,39.31,34.0,54,1,5.82
64,Luderitz,-26.65,55.4,100,59,3.36
65,Katobu,-4.94,93.7,44,34,2.51
66,Matara,-3.48,58.71,82,31,5.28
67,Ossora,59.24,36.72,97,100,22.79
68,Monticello,40.03,28.4,63,1,9.17
69,Tessalit,20.2,74.12,22,1,7.52
70,Broome,52.47,41.0,86,73,9.17
71,Gelemso,8.81,59.65,72,14,1.48
72,Ancud,-41.87,48.2,81,35,6.93
73,Carlisle,54.89,37.0,100,100,5.82
74,Bandarbeyla,9.49,79.88,74,0,11.43
75,Kalat,29.03,41.77,23,0,0.45
76,Yar-Sale,66.83,-3.72,99,70,7.74
77,Paka,4.15,67.71,96,0,1.61
78,Torbay,47.66,52.0,93,90,16.11
79,Hovd,63.83,27.0,78,27,8.05
80,Bontang,0.12,83.62,75,75,6.58
81,Busselton,-33.64,93.99,19,17,4.03
82,Horta,-10.93,80.6,74,40,6.93
83,Praia,-20.25,69.8,88,40,3.91
84,Castro,-42.48,48.2,81,63,6.93
85,Camacha,33.08,66.2,59,20,12.75
86,San Patricio,-26.98,73.08,90,0,4.45
87,Srednekolymsk,67.46,3.38,94,100,8.16
88,Mizan Teferi,6.99,62.13,86,91,4.25
89,Teixoso,40.31,41.0,96,66,1.99
90,Pevek,69.7,10.62,66,0,0.07
91,Sao Joao da Barra,-21.64,75.09,91,100,4.97
92,Riviere-au-Renard,49.0,28.4,54,90,10.29
93,Hithadhoo,-0.6,81.82,76,46,10.38
94,Mutis,6.23,80.76,84,100,10.09
95,Deputatskiy,69.3,-12.16,95,28,2.91
96,East London,-33.02,57.2,87,75,3.36
97,Gola Bazar,26.34,77.29,60,0,4.16
98,Saldanha,41.42,39.7,87,100,8.01
99,Kununurra,-15.77,104.0,16,26,6.93
100,Makakilo City,21.35,82.4,78,1,8.05
101,Mehamn,71.03,16.48,96,53,6.93
102,Mitsamiouli,-11.38,82.4,69,40,9.17
103,Belyy Yar,53.6,41.0,65,100,15.66
104,Aviles,43.55,55.0,76,87,11.41
105,Pisco,-13.71,64.4,77,30,14.99
106,Kouqian,43.66,40.37,27,0,4.79
107,Kodiak,39.95,37.4,55,1,11.41
108,Carutapera,-1.2,82.08,76,22,12.64
109,Yellowknife,62.45,10.4,78,75,17.22
110,Mahebourg,-20.41,77.0,73,40,11.41
111,Ust-Nera,64.57,0.36,95,97,1.88
112,Mar del Plata,-46.43,48.4,68,0,18.5
113,North Platte,41.12,44.01,64,1,6.93
114,Barrow,-38.31,51.42,75,100,5.7
115,Palora,-1.7,66.13,95,95,2.73
116,Vrede,-27.43,53.87,89,39,9.51
117,Esperance,-33.86,80.6,26,0,12.75
118,Jamestown,-33.21,64.98,28,0,13.38
119,Takoradi,4.89,79.38,79,0,1.77
120,Rundu,-17.91,73.4,53,62,1.12
121,Mansfield,53.14,35.6,88,62,1.12
122,Kungurtug,50.6,28.72,61,96,2.01
123,Chicama,-7.84,64.4,82,40,9.17
124,Romny,50.74,44.22,91,6,13.73
125,Yulara,-25.24,82.4,15,0,12.75
126,Aragarcas,-15.9,72.14,88,100,4.99
127,Maningrida,-12.05,95.41,39,0,11.39
128,Dalbandin,28.9,51.76,16,0,5.57
129,Santiago de Cao,-7.96,64.4,82,40,9.17
130,Port Keats,-14.25,92.3,43,0,10.89
131,Laguna,16.17,75.2,100,40,1.72
132,Selma,32.41,41.0,86,87,5.82
133,Koygorodok,60.44,5.32,91,99,2.8
134,Miri,10.31,72.54,38,23,2.77
135,Constitucion,23.99,62.6,72,40,3.36
136,Kavieng,-2.57,84.25,77,100,12.64
137,Hilo,19.71,82.4,61,20,5.82
138,Rocha,-34.48,54.36,97,88,5.5
139,Arraial do Cabo,-22.97,72.05,95,100,5.82
140,Port Lincoln,-34.72,64.33,42,0,11.56
141,Puerto Ayacucho,5.66,73.62,96,64,2.24
142,Veinticinco de Mayo,-27.38,70.0,86,0,3.22
143,Jumla,29.28,48.81,49,0,0.83
144,Tonantins,-2.86,74.48,96,100,1.72
145,Kapaa,22.08,80.6,61,1,3.36
146,Faanui,-16.48,81.28,77,100,18.59
147,Rafai,4.95,68.72,98,63,1.77
148,North Bend,43.41,53.01,87,90,2.01
149,Ostrovnoy,68.05,14.47,93,100,4.81
150,Leningradskiy,69.38,19.26,75,0,13.98
151,Aracati,-4.56,77.27,77,23,7.52
152,Saint-Michel-des-Saints,46.68,17.01,8,24,4.68
153,Provideniya,64.42,31.06,99,100,2.84
154,Tarusa,54.73,39.2,100,90,6.71
155,Wanning,48.64,43.0,93,75,5.82
156,Cap Malheureux,-19.98,77.0,73,40,11.41
157,Carnarvon,-30.97,54.64,55,43,14.27
158,North Myrtle Beach,33.83,46.0,51,1,8.05
159,Avarua,-21.21,73.4,83,77,5.82
160,Avera,33.19,50.0,61,1,9.17
161,Yeppoon,-23.13,93.2,13,0,13.87
162,Nhamunda,-2.19,81.57,61,97,0.92
163,Mokhsogollokh,61.4,-6.8,91,17,3.42
164,Verkhnevilyuysk,63.45,8.38,77,86,9.91
165,Pasni,25.26,67.66,13,0,8.86
166,New Norfolk,-42.78,54.0,66,75,13.87
167,Ponta do Sol,-20.63,66.31,92,97,2.73
168,Young,-32.7,68.0,81,0,1.99
169,Flinders,-34.58,71.01,52,90,20.8
170,La Rioja,-29.41,72.34,62,13,4.63
171,Port Hedland,-20.31,100.4,17,36,16.11
172,Skelleftea,64.75,16.0,85,100,10.29
173,La Ronge,55.1,19.4,85,90,6.93
174,Bukama,-9.2,71.24,84,99,3.51
175,Acapulco,16.86,82.4,78,5,3.02
176,Pacific Grove,36.62,57.99,81,90,9.75
177,Sayat,38.78,30.2,80,0,2.8
178,Birr,53.1,46.99,95,100,11.99
179,Araguaina,-7.19,79.77,68,86,4.54
180,San Clemente,33.43,72.0,49,1,5.82
181,Puerto Penasco,31.32,77.0,40,39,5.99
182,Haines Junction,60.75,16.45,96,83,7.43
183,Ilulissat,69.22,39.2,29,100,20.8
184,Mackenzie,55.34,30.2,86,90,6.93
185,Totness,33.74,46.99,48,1,6.93
186,Chuy,-33.69,61.83,89,0,9.01
187,Kozlovka,55.84,28.4,92,90,4.47
188,Nikolskoye,59.7,33.01,97,90,6.71
189,Norman Wells,65.28,8.6,78,90,8.05
190,Bathsheba,13.22,82.4,74,20,20.8
191,Upernavik,72.79,6.58,69,13,11.56
192,Chokurdakh,70.62,-9.06,99,98,3.29
193,Vardo,39.62,33.01,58,1,5.82
194,Sioux Lookout,50.1,21.2,85,90,6.93
195,Marsh Harbour,26.54,78.82,74,59,7.05
196,Ribeira Grande,38.52,60.58,79,55,6.49
197,Minot,48.23,39.2,74,20,13.87
198,Bethel,60.79,35.6,91,90,9.17
199,Riberalta,-11.0,74.93,87,29,0.76
200,Gorontalo,0.54,87.93,57,0,7.29
201,Hojai,26.0,71.73,96,100,1.88
202,Chinique,15.08,57.0,86,19,8.99
203,Lagoa,37.14,52.0,87,51,2.24
204,Zhanakorgan,43.91,41.45,43,33,0.58
205,Kruisfontein,-34.0,50.52,89,36,5.66
206,Ulaangom,49.98,34.07,76,100,1.68
207,Connersville,39.64,28.4,92,1,3.36
208,Nhulunbuy,-12.18,89.6,59,40,11.41
209,Tchollire,8.4,73.92,60,21,2.57
210,Moerai,-22.43,73.8,81,99,10.87
211,Soyo,-6.13,78.06,88,80,5.26
212,Dhanwar,24.42,74.23,75,100,8.32
213,Fairbanks,64.84,12.99,72,1,6.93
214,Rence,45.89,54.0,100,100,9.17
215,Kahului,20.89,77.0,94,20,6.93
216,Atambua,-9.11,84.87,57,33,6.33
217,Meget,52.42,28.4,100,90,2.24
218,Necochea,-38.55,55.99,74,100,7.0
219,Lidkoping,58.51,37.4,100,100,3.36
220,Hasaki,35.73,63.0,51,20,10.29
221,Lasa,34.92,68.0,60,0,6.93
222,Coihaique,-45.58,48.2,61,100,3.36
223,Margate,-43.03,54.0,66,75,13.87
224,Nadym,65.53,-2.46,91,12,11.54
225,Gualaquiza,-3.4,61.48,98,58,0.76
226,Vicksburg,32.35,41.0,100,1,7.23
227,Birin,26.89,62.19,68,95,3.15
228,Lobva,59.19,8.35,92,0,3.2
229,Amot,59.57,18.41,91,94,4.12
230,Mahibadhoo,3.78,81.75,76,73,9.51
231,Adre,13.47,70.34,21,0,13.6
232,Faridpur,23.6,75.2,88,90,6.93
233,Nemuro,43.32,42.8,41,75,8.05
234,Khatanga,71.98,-13.94,96,100,17.22
235,Kathu,-27.7,60.01,25,0,6.55
236,Tiksi,71.64,-18.58,89,0,4.74
237,Bizhbulyak,53.69,30.45,91,100,12.68
238,Gornopravdinsk,60.06,6.53,91,0,3.53
239,Buala,-8.15,81.32,78,100,1.61
240,Aklavik,68.22,6.8,71,90,4.7
241,Coihueco,-36.63,60.8,55,0,8.05
242,Pilar,-34.46,66.99,63,90,16.11
243,Grenada,33.77,33.8,80,1,4.7
244,Mana,13.03,74.41,24,0,3.51
245,Sao Jose da Coroa Grande,-8.9,79.25,75,63,13.8
246,Tual,-5.67,82.98,75,56,3.4
247,Salinopolis,-0.61,82.17,80,88,14.76
248,Maizuru,35.47,66.99,55,20,2.24
249,Agudos,-22.47,71.6,100,40,10.29
250,Platteville,42.73,30.2,63,75,10.29
251,Batemans Bay,-35.71,62.01,38,0,11.99
252,Menongue,-14.66,60.21,93,8,2.35
253,Smithers,54.78,37.4,100,90,4.7
254,Mattru,7.62,75.13,94,2,1.3
255,Sensuntepeque,13.88,84.2,78,90,9.17
256,Antofagasta,-23.65,60.8,72,90,3.36
257,Bambous Virieux,-20.34,77.0,73,40,11.41
258,Porto Walter,-8.27,75.97,75,100,2.13
259,Hohhot,40.81,41.0,93,40,8.16
260,Kintampo,8.05,75.0,79,27,3.44
261,Karratha,-20.74,83.41,51,98,8.95
262,Kaitangata,-46.28,72.0,36,50,5.99
263,Shimoda,34.7,62.6,59,75,19.46
264,Dunedin,-45.87,64.0,68,88,14.0
265,San Cristobal,14.68,65.3,97,70,3.22
266,Banes,20.96,77.0,94,20,6.93
267,Qeshm,26.96,75.2,56,40,6.93
268,The Valley,18.22,82.4,74,20,11.41
269,Faya,18.39,59.0,71,0,1.28
270,Fortuna,40.6,53.01,100,90,1.01
271,Turukhansk,65.8,-22.29,97,100,6.13
272,Samarai,-10.62,84.43,70,100,7.18
273,Neiafu,-18.65,82.4,74,20,9.17
274,Iqaluit,63.75,1.4,84,20,9.17
275,Mamakan,57.82,23.07,95,100,4.32
276,College,64.86,12.99,72,1,6.93
277,Charters Towers,-20.07,94.8,10,0,16.15
278,Zarichne,49.02,45.32,89,8,10.54
279,Geraldton,49.72,10.4,78,90,4.7
280,Bradford,53.79,36.0,93,72,2.24
281,Rosario,-34.31,63.0,87,96,1.99
282,Sur,22.57,74.5,41,0,4.54
283,Usinsk,66.0,11.61,95,100,13.24
284,Kieta,-6.22,84.25,71,0,5.5
285,Powell River,49.84,51.01,87,90,5.82
286,Ciudad Bolivar,8.12,78.1,83,98,6.89
287,Algete,40.6,45.0,65,4,13.87
288,Rovaniemi,66.5,5.0,84,75,8.05
289,Lavrentiya,65.58,30.9,97,100,14.47
290,Ahuimanu,21.44,82.4,74,90,4.7
291,Santa Maria,-16.02,75.2,69,46,3.36
292,Sitka,37.17,45.0,82,0,5.01
293,Talnakh,69.49,-16.61,82,40,6.71
294,Shiozawa,37.03,64.0,44,0,6.15
295,Huntington,40.87,33.01,54,75,13.87
296,Vanimo,-2.67,83.26,65,100,3.49
297,Middelburg,51.5,48.99,76,86,16.11
298,Lebu,8.96,49.59,71,82,2.13
299,Tuktoyaktuk,69.44,5.0,84,90,4.7
300,Orlik,53.95,44.01,100,90,5.82
301,Sambava,-14.27,70.29,94,98,2.57
302,Isiro,2.77,67.57,99,100,1.32
303,High Level,58.52,15.8,85,90,10.29
304,Te Anau,-45.41,51.8,100,100,5.01
305,Yuanping,38.72,50.94,51,100,5.28
306,Strezhevoy,60.73,-4.01,83,40,6.71
307,Matay,28.42,64.31,57,0,7.09
308,Baraboo,43.47,28.0,63,90,9.17
309,Mayo,63.59,-7.61,83,5,5.82
310,Puri,-7.54,92.46,44,0,4.45
311,Tecoanapa,16.99,82.4,78,5,2.75
312,Cairns,-16.92,99.0,65,4,9.17
313,Aketi,2.74,69.64,96,100,1.88
314,Port Hardy,50.7,46.4,100,90,3.36
315,Lulea,65.58,10.4,85,100,5.82
316,Vestmannaeyjar,63.44,43.09,89,100,51.05
317,Souillac,45.6,39.0,93,70,2.24
318,Keetmanshoop,-26.57,68.0,24,0,4.7
319,Bambanglipuro,-7.95,86.43,52,5,9.06
320,Trairi,-3.28,75.87,84,33,8.3
321,Pundaguitan,6.37,83.01,74,100,2.59
322,Saint-Augustin,45.63,27.0,67,5,4.7
323,Polunochnoye,60.87,1.81,85,19,1.32
324,Epanomi,40.43,59.0,100,20,3.36
325,Lerwick,60.15,37.4,69,63,4.7
326,Kirakira,-10.46,80.91,81,71,6.11
327,Nome,30.04,48.99,81,1,4.7
328,Basco,40.33,34.0,58,40,11.41
329,Monterrey,25.67,55.4,87,90,4.97
330,Skibbereen,51.55,46.4,93,75,12.75
331,Warrnambool,-38.38,55.99,66,100,18.01
332,Pangnirtung,66.15,17.29,68,100,11.74
333,Panaba,21.28,78.06,86,32,6.42
334,Asyut,27.18,64.4,82,0,11.41
335,Ayan,38.23,30.67,52,0,0.27
336,Chimbote,-9.08,63.61,79,31,2.64
337,Santa Cruz,-6.22,70.86,89,76,5.26
338,Shu,43.6,21.99,78,38,5.06
339,Cidreira,-30.17,70.5,87,0,18.92
340,Rumford,44.55,26.6,58,1,10.29
341,Wegorzewo,54.22,43.34,95,89,6.22
342,Shagamu,6.84,78.8,94,20,2.28
343,Colmenar Viejo,40.66,45.0,65,68,13.87
344,Havre-Saint-Pierre,50.23,21.2,62,90,11.41
345,Manchester,43.0,28.4,58,1,4.7
346,Juneau,58.3,33.8,100,75,3.36
347,Kokopo,-4.34,83.48,74,79,9.86
348,Ciuperceni,44.94,51.03,90,8,2.06
349,Tibiri,13.57,76.57,16,0,4.97
350,Alofi,-19.06,80.6,74,7,13.87
351,Hearst,49.69,15.13,94,100,3.58
352,Vestmanna,62.16,41.0,75,100,20.8
353,Eureka,40.8,53.01,100,90,1.41
354,Birao,10.3,71.64,25,100,8.14
355,Adrar,27.87,59.0,33,0,20.8
356,Miandrivazo,-19.53,80.67,57,0,3.71
357,Danilov,58.19,30.2,100,90,4.47
358,Deer Lake,49.18,30.2,86,90,4.7
359,Cabo San Lucas,22.89,82.0,69,5,3.36
360,Agua Verde,22.89,84.0,78,40,5.23
361,Sorong,-0.86,93.29,47,36,3.09
362,Touros,-5.2,77.0,78,75,5.82
363,Mindelo,41.31,53.01,87,75,6.93
364,Luanda,-8.83,78.8,88,75,8.05
365,Grand-Santi,4.27,72.7,98,66,1.95
366,Eskisehir,39.78,33.8,86,0,1.12
367,Loganville,33.84,44.6,100,20,3.36
368,Hambantota,6.12,82.4,94,40,6.93
369,Urusha,54.05,12.96,71,0,0.89
370,Lopatino,53.85,36.0,100,35,5.64
371,Mogadishu,2.04,80.6,74,40,4.7
372,Ekimchan,53.07,6.03,77,100,3.78
373,Northam,-31.65,96.8,11,100,17.22
374,Taruma,-18.12,77.0,88,75,5.82
375,Omboue,-1.57,75.15,95,55,1.07
376,San Quintin,17.54,81.3,82,12,7.07
377,Lompoc,34.64,66.99,93,90,14.18
378,Kumano,34.34,66.2,48,40,3.36
379,Palmares do Sul,-30.26,63.0,96,0,1.01
380,Abaete,-19.16,73.33,80,86,8.97
381,Puerto del Rosario,28.5,69.8,64,90,26.4
382,Tondano,1.3,93.2,46,20,3.36
383,Xining,36.62,45.05,49,87,5.44
384,Rondonopolis,-16.46,73.06,84,0,1.59
385,Hualmay,-11.1,62.85,79,17,2.59
386,Lakes Entrance,-37.88,55.0,69,69,3.0
387,Dingle,11.0,85.98,67,2,10.27
388,Russell,38.9,42.8,52,1,14.99
389,Coquimbo,-29.95,55.4,87,90,3.36
390,Clyde River,70.47,17.6,92,90,6.93
391,Yarada,17.65,82.4,54,75,6.93
392,Yayva,59.33,5.0,82,28,1.48
393,Cherskiy,68.75,10.63,83,100,5.73
394,Zhezkazgan,47.8,32.0,47,90,8.95
395,Leh,34.16,15.55,55,9,3.04
396,Davila,18.47,82.4,78,75,18.34
397,Zhigansk,66.77,-8.83,88,96,17.78
398,Salalah,17.01,75.2,69,20,3.36
399,San Angelo,31.46,46.4,87,1,4.7
400,Port-Gentil,-0.72,81.16,81,61,7.92
401,Kajaani,64.22,21.2,92,90,11.41
402,Karachi,24.87,69.8,43,0,11.41
403,Ormara,25.21,77.97,44,0,7.16
404,Virovitica,45.83,48.0,98,69,5.17
405,Inta,66.04,9.61,93,100,18.03
406,Hammerfest,70.66,19.4,92,40,4.7
407,Codrington,-28.95,84.2,39,90,8.05
408,Viedma,-40.81,46.89,74,18,7.11
409,Tolaga Bay,-38.37,64.47,71,0,39.06
410,Mamala,8.5,73.42,95,39,0.74
411,Great Yarmouth,52.61,41.0,86,73,9.17
412,Anadyr,64.73,14.0,92,40,2.24
413,Beidao,34.57,51.51,73,100,3.13
414,Ramhormoz,31.28,65.8,35,0,4.63
415,Tadine,-21.55,78.75,55,64,3.02
416,Rawson,-43.3,51.22,65,3,19.69
417,Abatskoye,56.29,17.29,69,0,6.91
418,Burnie,-41.05,53.01,90,100,3.0
419,Fukue,35.03,62.6,39,20,6.93
420,Tucupita,9.06,75.58,93,100,3.91
421,Marienburg,52.12,44.01,93,75,3.36
422,Itajuba,-22.43,69.8,94,75,3.36
423,Saquarema,-22.93,75.2,100,90,3.36
424,Crestview,30.76,55.0,71,40,9.17
425,Vega de Alatorre,20.03,70.75,90,100,27.13
426,Poronaysk,49.22,28.74,58,12,15.23
427,Tuatapere,-46.13,63.0,72,100,5.01
428,San Juan del Sur,11.25,81.41,82,33,21.97
429,Coahuayana,18.62,73.69,76,0,3.31
430,Mackay,53.65,33.8,92,90,11.41
431,Manisa,38.62,66.2,82,75,4.7
432,Piotrkow Trybunalski,51.41,46.4,93,75,3.36
433,Goundi,9.36,73.74,49,32,2.59
434,Lubumbashi,-11.66,62.82,82,72,3.11
435,Saint Anthony,43.97,33.8,59,1,4.65
436,Nong Bua,15.87,89.01,43,100,2.59
437,Jadu,31.95,58.42,40,66,3.36
438,Aranda de Duero,41.67,34.21,91,59,11.86
439,Pierre,44.37,48.2,73,1,14.99
440,Erenhot,43.65,43.41,71,100,13.76
441,Bandipur,11.67,66.22,94,87,3.44
442,Caravelas,-17.73,70.21,95,8,6.78
443,Bauska,56.41,44.6,93,90,6.93
444,Ryotsu,38.08,57.2,71,90,1.12
445,Aswan,24.09,65.59,48,0,8.25
446,Namwala,-15.75,73.36,31,63,4.27
447,Bintulu,3.17,82.4,78,75,4.7
448,Isla Vista,34.41,66.99,93,1,6.08
449,Winburg,-28.52,55.18,83,17,16.37
450,Halifax,44.65,30.99,92,90,17.22
451,Hami,42.84,38.21,36,0,6.96
452,Male,50.74,44.22,91,6,13.73
453,Sal Rei,16.18,75.2,69,20,12.75
454,Kibala,9.11,74.01,52,67,1.41
455,Husavik,50.56,27.0,98,95,2.75
456,Maniitsoq,65.42,37.04,49,94,17.29
457,Pochutla,15.74,82.4,65,20,5.82
458,Verkh-Tula,54.88,17.6,72,75,13.42
459,Kawalu,-7.38,84.85,44,0,4.63
460,Sangar,63.92,-11.83,85,0,9.6
461,Itanagar,27.1,71.6,94,40,1.12
462,Tura,64.27,-1.07,96,71,3.58
463,Berlevag,70.86,27.18,77,56,7.58
464,Santa Cruz de la Palma,28.68,69.8,56,75,16.11
465,Atasu,48.68,36.39,56,100,8.97
466,Opuwo,-18.06,68.4,33,99,5.14
467,Neryungri,56.66,6.75,71,0,2.35
468,Diu,20.71,79.92,60,0,16.49
469,Miles City,46.41,42.8,70,1,9.17
470,Sao Gabriel da Cachoeira,-0.13,77.11,81,75,2.01
471,Cayenne,4.94,73.4,100,75,5.97
472,San Pedro Sula,15.51,77.0,94,75,3.36
473,Kizilskoye,52.73,31.46,95,100,14.14
474,Fort Nelson,58.81,12.2,78,90,8.05
475,Novyye Burasy,52.13,35.01,86,52,10.0
476,Kjollefjord,70.95,23.2,92,86,7.23
477,Gat,14.69,71.6,88,27,12.75
478,Mahanoro,-19.9,77.54,83,40,12.68
479,Bilibino,68.06,2.79,74,0,3.04
480,Chiredzi,-21.05,71.49,80,100,11.03
481,Nichinan,31.65,69.8,43,20,6.93
482,Quatre Cocos,-20.21,77.0,73,40,11.41
483,Bosaso,11.28,82.45,72,0,11.18
484,Kingsland,30.8,62.6,66,1,10.29
485,Peleduy,59.63,31.19,93,100,12.28
486,Manono,-7.3,67.32,91,98,2.62
487,Meulaboh,4.14,79.68,78,60,3.69
488,Tokur,53.13,6.03,77,100,3.78
489,Corinto,3.17,75.2,78,75,3.36
490,Mandalgovi,45.76,34.93,35,32,26.4
491,Wakkanai,45.41,35.6,59,75,18.34
492,Paciran,-6.9,95.81,42,3,2.42
493,Bolgatanga,10.79,79.3,46,0,4.38
494,Tebingtinggi,3.33,86.0,79,75,5.82
495,Rocky Mountain House,52.38,35.31,99,100,3.62
496,Pacifica,37.61,55.99,93,90,3.36
497,Kollam,8.88,84.2,74,40,5.82
498,Bubaque,11.28,82.76,64,52,13.8
499,Marsaxlokk,35.84,69.01,59,20,8.05
500,Luganville,-15.51,84.2,66,40,8.05
501,Canoa,22.56,75.2,88,20,2.24
502,Nara,34.68,68.0,51,20,3.36
503,Coruripe,-10.12,77.68,78,0,10.69
504,Kamenka,48.03,55.99,94,2,5.01
505,Batman,37.88,39.2,93,90,0.54
506,Debelec,43.03,48.99,100,0,1.12
507,Yinchuan,38.48,45.0,74,100,12.12
508,Montlucon,46.33,41.0,97,64,6.31
509,Sterling,39.0,34.0,62,1,5.82
510,Kalmunai,7.42,80.62,78,98,5.79
511,Hofn,64.25,43.34,70,100,27.67
512,Poum,41.28,44.02,92,7,4.56
513,Calama,-22.46,55.4,22,0,11.41
514,Iquitos,-3.75,77.0,88,40,0.63
515,Saint George,39.45,51.8,100,20,3.89
516,Milkovo,41.53,51.8,100,20,3.36
517,Praia da Vitoria,38.73,57.2,93,20,6.62
518,Mount Gambier,-37.83,53.6,76,90,20.8
519,Kipushi,-11.76,64.67,70,96,3.38
520,Malartic,48.14,15.8,85,75,4.7
521,Nabire,-3.36,92.19,47,100,4.9
522,Puerto Escondido,15.86,82.4,65,20,5.82
523,Madisonville,37.33,27.0,100,1,3.0
524,Kupang,-10.16,91.4,55,20,9.17
525,Enshi,30.29,58.26,70,95,3.24
526,Omutninsk,58.67,18.23,75,10,1.45
527,Abilene,32.45,44.6,81,1,5.82
528,Tshikapa,-6.42,69.64,94,100,0.43
529,Marevo,43.57,59.0,54,75,19.46
530,Banda Aceh,5.56,83.5,66,91,1.88
531,Guarapari,-20.67,81.0,78,20,6.93
532,Talara,-4.58,66.02,88,41,16.42
533,Sydney,-33.85,72.0,32,33,14.99
534,Itamaraca,-7.75,80.6,74,40,5.82
535,Port Macquarie,-31.43,77.0,34,75,19.46
536,Waslala,13.33,67.89,99,36,2.51
537,Ponta Delgada,37.73,64.4,82,40,6.93
538,Portland,43.66,30.0,58,1,10.29
539,Kizukuri,40.81,48.99,49,20,18.34
540,Robertsport,6.75,81.05,77,100,3.51
541,Sao Fidelis,-21.65,72.21,97,77,2.82
542,Buchanan,5.88,77.0,94,75,2.37
543,Elko,40.83,48.99,35,1,0.85
544,Port Moresby,-9.47,77.0,100,90,9.17
545,Vredendal,-31.68,67.26,39,98,6.98
546,Nokaneng,-19.66,77.59,47,100,5.12
547,Sungairaya,0.7,90.14,55,38,3.78
548,Rabo de Peixe,37.8,64.4,82,40,6.93
549,Palmas,-10.18,71.6,100,40,3.36
550,Kaberamaido,1.76,65.12,95,100,2.01
551,Sao Felix do Xingu,-6.64,71.33,97,100,2.17
552,Barabai,-2.59,95.74,40,0,2.13
553,Meiganga,6.52,66.56,74,39,2.82
554,Awjilah,29.14,60.93,71,0,6.55
555,Sisimiut,66.94,26.55,50,100,10.49
556,Fukuyama,34.52,64.4,48,40,3.36
557,Suntar,62.16,16.77,92,100,9.98
558,Ternate,14.29,91.99,66,40,2.24
559,Mendi,9.8,63.05,94,100,3.36
560,Bone,51.97,45.0,93,90,9.17
561,Kota Belud,6.35,78.01,94,90,23.04
562,Broken Hill,-31.97,62.6,29,0,10.29
563,Conceicao da Barra,-18.59,77.92,81,100,20.71
564,Tungor,53.39,27.68,90,100,26.4
